"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE998829713051";"WP Wolfen / Thalheim - WEA 1 - T";"In Betrieb";"Wind";"600";"600";"3.12.2003";"18.12.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"Reudener Straße";"";"";"";"15082015";"51,649098";"12,212746";"";"";"WP Wolfen / Thalheim";"65";"44";"ENERCON GmbH";"E40 - 6.44";"";"";"Horizontalläufer";"Windkraft an Land";"18.12.2020";"";"";"cp.max GmbH & Co. Windräder Wolfen / Thalheim KG";"ABR946419588121";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL975539450728";"EEG964395700726";"";"3.12.2003";"";"";"";"";"";""
"SEE997443466626";"16834";"In Betrieb";"Wind";"850";"850";"18.12.2003";"1.10.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weissandt";"Flur 3: Flurstück 78";"15082377";"51";"12";"";"";"Weissandt-Gölzau KG";"74";"52";"Vestas Deutschland GmbH";"V52 - 850 kW";"";"";"Horizontalläufer";"Windkraft an Land";"15.10.2020";"";"";"Weissandt-Gölzau GmbH & Co. KG";"ABR952825515224";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL927938963996";"EEG900078130107";"E41081010000000000000000000013341";"18.12.2003";"";"";"";"";"";""
"SEE942974310115";"AN 1300-680-05";"In Betrieb";"Wind";"1300";"1300";"23.4.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau";"Flur: 2, Flurstück: 	3";"15082377";"51,661096";"11,956317";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 1,3MW/63";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL929809686348";"EEG906870751762";"E41081010000000000000000000004345";"23.4.2002";"";"";"";"";"";""
"SEE927469611007";"AN 1300-684-03";"In Betrieb";"Wind";"1300";"1300";"8.5.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau";"Flur: 2, Flurstück: 	3";"15082377";"51,667276";"11,955969";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 1,3MW/65";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL916704422065";"EEG937735804675";"E41081010000000000000000000004347";"8.5.2002";"";"";"";"";"";""
"SEE910882306773";"213781";"In Betrieb";"Wind";"3300";"3300";"2.12.2016";"20.11.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt-Gölzau";"Flur 3: Flurstück 69";"15082377";"51,664858";"12,046475";"";"";"Weißandt-Gölzau Wind GmbH & Co. KG";"137";"126";"Vestas Deutschland GmbH";"V 126 - 3.3";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Weißandt-Gölzau Wind GmbH & Co. KG";"ABR973548615237";"Volleinspeisung";"SGE973694667838";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL913396166611";"EEG993818735212";"E41081010000000000000000000228690";"2.12.2016";"";"";"";"";"";""
"SEE973196530975";"WEA02";"In Betrieb";"Wind";"2200";"2200";"20.12.2012";"9.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Wettin-Löbejün";"Flur2, Flurstück 58/10";"15082377";"51,619188";"11,829815";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE932559235896";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL972104553204";"EEG968460720855";"E41081010000000000000000000172689";"20.12.2012";"";"";"";"";"";""
"SEE922815978681";"16837";"In Betrieb";"Wind";"850";"850";"18.12.2003";"1.10.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt";"Flur 3: Flurstück 23";"15082377";"51";"12";"";"";"Weissandt-Gölzau KG";"74";"52";"Vestas Deutschland GmbH";"V52 - 850 kW";"";"";"Horizontalläufer";"Windkraft an Land";"15.10.2020";"";"";"Weissandt-Gölzau GmbH & Co. KG";"ABR952825515224";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL965813995137";"EEG958859977298";"E41081010000000000000000000013339";"18.12.2003";"";"";"";"";"";""
"SEE918422019602";"16839";"In Betrieb";"Wind";"850";"850";"18.12.2003";"1.10.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt";"Flur 3: Flurstück 24";"15082377";"51";"12";"";"";"Weissandt-Gölzau KG";"74";"52";"Vestas Deutschland GmbH";"V52 - 850 kW";"";"";"Horizontalläufer";"Windkraft an Land";"9.10.2020";"";"";"Weissandt-Gölzau GmbH & Co. KG";"ABR952825515224";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL947031930633";"EEG983176140476";"E41081010000000000000000000004499";"18.12.2003";"";"";"";"";"";""
"SEE999016659015";"WP Schortewitz 8135";"In Betrieb";"Wind";"2500";"2500";"26.11.2004";"6.10.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt-Gölzau";"3/43";"15082377";"51,661479";"12,043324";"";"";"WP Schortewitz 8135";"80";"80";"Nordex Energy GmbH";"N-80";"";"";"Horizontalläufer";"Windkraft an Land";"2.6.2021";"";"";"Windpark Anhalt-Süd OHG";"ABR973872434382";"Volleinspeisung";"SGE995849335140";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL923741881397";"EEG926264213522";"E41081010000000000000000000005602";"26.11.2004";"";"";"";"";"";""
"SEE919991341989";"Zörbig 43";"In Betrieb";"Wind";"850";"850";"5.9.2001";"7.10.2020";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Flur: 225";"15082340";"51,64032";"12,166492";"";"";"Zörbig";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"16.11.2020";"";"";"natürliche Person (ABR960661297136)";"ABR960661297136";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL928543656990";"EEG919357043007";"E41081010000000000000000000005037";"5.9.2001";"";"";"";"";"";""
"SEE960680041833";"Zörbig 44";"In Betrieb";"Wind";"850";"850";"5.9.2001";"7.10.2020";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Zörbig";"Flur: 225";"15082340";"51,638037";"12,168125";"";"";"Zörbig";"74";"52";"Vestas Deutschland GmbH";"V52";"";"";"Horizontalläufer";"Windkraft an Land";"7.10.2020";"";"";"natürliche Person (ABR960661297136)";"ABR960661297136";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL934559924749";"EEG952241257180";"E41081010000000000000000000005036";"5.9.2001";"";"";"";"";"";""
"SEE934805435784";"R4 Roitzsch 4";"In Betrieb";"Wind";"600";"600";"25.4.1998";"9.11.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 125";"15082340";"51,577713";"12,239879";"";"";"F3 Freiheit III";"70";"48";"DeWind GmbH";"DeWind D4-48/48/600";"";"";"Horizontalläufer";"Windkraft an Land";"17.5.2021";"";"";"ENERTRAG Windfeld Freiheit III GmbH & Co. KG";"ABR975203323204";"Volleinspeisung";"SGE960016883274";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL903048497651";"EEG987484464064";"E41081010000000000000000000004382";"25.4.1998";"";"";"";"";"";""
"SEE931645659271";"702332";"In Betrieb";"Wind";"2000";"2000";"27.6.2005";"23.11.2020";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Salzfurtkapelle";"Flur 3 Flurstück 64";"15082340";"51,704297";"12,214158";"";"";"Windpark Raguhn GmbH & Co. KG";"113";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"2.6.2021";"";"";"Windpark Raguhn GmbH & Co. KG";"ABR954154049593";"Volleinspeisung";"SGE978772666024";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL942411784134";"EEG990229208038";"E41081010000000000000000000004423";"27.6.2005";"";"";"";"";"";""
"SEE974396303161";"702331";"In Betrieb";"Wind";"2000";"2000";"28.6.2005";"23.11.2020";"Sachsen-Anhalt";"06780";"Zörbig";"";"";"Salzfurtkapelle";"Flur 4 Flurstück 256 / 5";"15082340";"51,698408";"12,215014";"";"";"Windpark Raguhn GmbH & Co. KG";"113";"71";"ENERCON GmbH";"E 70";"";"";"Horizontalläufer";"Windkraft an Land";"2.6.2021";"";"";"Windpark Raguhn GmbH & Co. KG";"ABR954154049593";"Volleinspeisung";"SGE978772666024";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL942411784134";"EEG977552972638";"E41081010000000000000000000004445";"28.6.2005";"";"";"";"";"";""
"SEE962584041841";"WEA13";"In Betrieb";"Wind";"2200";"2200";"7.8.2012";"10.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Domnitz";"Flur 2, Flurstück 58/7";"15082377";"51,621509";"11,828245";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE941179562244";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL902085406756";"EEG912682224462";"E41081010000000000000000000172699";"7.8.2012";"";"";"";"";"";""
"SEE932419964126";"213779";"In Betrieb";"Wind";"3300";"3300";"25.11.2016";"19.11.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt-Gölzau";"Flur 2: Flurstück 57";"15082377";"51,68045";"12,037703";"";"";"Weißandt-Gölzau Wind GmbH & Co. KG";"137";"126";"Vestas Deutschland GmbH";"V 126 - 3.3";"";"";"Horizontalläufer";"Windkraft an Land";"6.4.2021";"";"";"Weißandt-Gölzau Wind GmbH & Co. KG";"ABR973548615237";"Volleinspeisung";"SGE973694667838";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL913396166611";"EEG956295721949";"E41081010000000000000000000228688";"25.11.2016";"";"";"";"";"";""
"SEE977113218243";"WEA07";"In Betrieb";"Wind";"2200";"2200";"18.12.2012";"10.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Wettin-Löbejün";"Flur 1, Flurstück 12/2";"15082377";"51,61652";"11,823463";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE932559235896";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL929465075289";"EEG921436726343";"E41081010000000000000000000172697";"18.12.2012";"";"";"";"";"";""
"SEE972134793311";"15755";"In Betrieb";"Wind";"1500";"1500";"19.2.2002";"3.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 113 / 14";"15082256";"51,839038";"11,86167";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"23.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL933031041066";"EEG937336603820";"E41081010000000000000000000005250";"19.2.2002";"";"";"";"";"";""
"SEE959812843735";"WEA03";"In Betrieb";"Wind";"2200";"2200";"15.8.2012";"9.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Domnitz";"Flur 2, Flurstück 61/1";"15082377";"51,619255";"11,834042";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE932559235896";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL912618566574";"EEG929880247667";"E41081010000000000000000000172690";"15.8.2012";"";"";"";"";"";""
"SEE962997877129";"WEA04";"In Betrieb";"Wind";"2200";"2200";"12.12.2012";"9.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Wettin-Löbejün";"Flur 1, Flurstück 11";"15082377";"51,619104";"11,821403";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE932559235896";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL962096603193";"EEG901476953404";"E41081010000000000000000000172693";"12.12.2012";"";"";"";"";"";""
"SEE907814186060";"15756";"In Betrieb";"Wind";"1500";"1500";"27.2.2002";"3.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 23 / 14";"15082256";"51,837184";"11,866078";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"23.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL913607700757";"EEG971222605628";"E41081010000000000000000000005253";"27.2.2002";"";"";"";"";"";""
"SEE994698400054";"15757";"In Betrieb";"Wind";"1500";"1500";"20.2.2002";"3.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 23 / 14";"15082256";"51,834898";"11,862725";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"26.2.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG917600277544";"E41081010000000000000000000005252";"20.2.2002";"";"";"";"";"";""
"SEE989873642145";"15764";"In Betrieb";"Wind";"1500";"1500";"12.3.2002";"4.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 88 / 2";"15082256";"51,830364";"11,878047";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"16.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL922807466172";"EEG955270599047";"E41081010000000000000000000005257";"12.3.2002";"";"";"";"";"";""
"SEE985178006118";"15808";"In Betrieb";"Wind";"1500";"1500";"13.6.2002";"7.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 1: Flurstück 3";"15082256";"51,808586";"11,881651";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"17.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG902909889796";"E41081010000000000000000000005244";"13.6.2002";"";"";"";"";"";""
"SEE958728536892";"15811";"In Betrieb";"Wind";"1500";"1500";"18.6.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 2: Flurstück 52 / 1";"15082256";"51,799527";"11,889366";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"19.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG930525297893";"E41081010000000000000000000005238";"18.6.2002";"";"";"";"";"";""
"SEE922678410762";"15813";"In Betrieb";"Wind";"1500";"1500";"25.6.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 2: Flurstück 54";"15082256";"51,796521";"11,887828";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"19.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG946589427763";"E41081010000000000000000000005234";"25.6.2002";"";"";"";"";"";""
"SEE931364273376";"WEA14";"In Betrieb";"Wind";"2200";"2200";"23.8.2012";"10.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Domnitz";"Flur 3, Flurstück 188";"15082377";"51,627013";"11,856947";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE921926517857";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL990291044381";"EEG935110587304";"E41081010000000000000000000172702";"23.8.2012";"";"";"";"";"";""
"SEE961436845729";"15763";"In Betrieb";"Wind";"1500";"1500";"28.2.2002";"4.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 88 / 4";"15082256";"51,829794";"11,873921";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"15.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL971759800220";"EEG970190801063";"E41081010000000000000000000005258";"28.2.2002";"";"";"";"";"";""
"SEE995618169631";"41624";"In Betrieb";"Wind";"500";"500";"27.5.1999";"9.4.2021";"Sachsen-Anhalt";"06780";"Zörbig";"Kastanienallee";"9001 r";"";"";"15082440";"51,60206";"12,150774";"";"";"WP_Spoeren";"63";"40";"ENERCON GmbH";"E-40/5.40";"";"";"Horizontalläufer";"Windkraft an Land";"28.5.2021";"";"";"ObjektPlus Energie UG (haftungsbeschränkt)";"ABR917099487318";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL911797616261";"EEG974909749332";"E41081010000000000000000000004467";"27.5.1999";"";"";"";"";"";""
"SEE924691521180";"WP Drosa";"In Betrieb";"Wind";"1500";"1500";"13.12.2005";"18.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Drosa";"Flur10: 062";"15082256";"51,820833";"11,8825";"";"";"WP Drosa KG";"65";"70";"GE Wind Energy GmbH";"1,5s";"";"";"Horizontalläufer";"Windkraft an Land";"28.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR965181056027";"Teileinspeisung";"SGE927510485861";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG945343419112";"E41081010000000000000000000013560";"13.12.2005";"";"";"";"";"";""
"SEE941739167353";"15814";"In Betrieb";"Wind";"1500";"1500";"2.7.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 2: Flurstück 63";"15082256";"51,797333";"11,883353";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"19.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG990343975854";"E41081010000000000000000000005235";"2.7.2002";"";"";"";"";"";""
"SEE979727556650";"15819";"In Betrieb";"Wind";"1500";"1500";"9.7.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 1: Flurstück 4";"15082256";"51,805843";"11,881743";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"17.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG929658909964";"E41081010000000000000000000005240";"9.7.2002";"";"";"";"";"";""
"SEE979456309640";"WP Sieglitz WEA 02";"In Betrieb";"Wind";"2000";"2000";"30.6.2003";"9.12.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Edlau";"Flur 4: Flurstück 159";"15082377";"51,654229";"11,852038";"";"";"WP Sieglitz";"100";"80";"Vestas Deutschland GmbH";"V80";"";"";"Horizontalläufer";"Windkraft an Land";"10.5.2021";"";"";"Plambeck Neue Energien Windparks Fonds XXII Extertal-Sieglitz GmbH & Co. KG";"ABR900092377625";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL958232193680";"EEG922588867786";"E41081010000000000000000000005094";"30.6.2003";"";"";"";"";"";""
"SEE941033575731";"15815";"In Betrieb";"Wind";"1500";"1500";"11.7.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 1: Flurstück 20";"15082256";"51,800261";"11,87912";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"19.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG982033770405";"E41081010000000000000000000005236";"11.7.2002";"";"";"";"";"";""
"SEE903921732404";"15812";"In Betrieb";"Wind";"1500";"1500";"4.7.2002";"8.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 2: Flurstück 61 / 1";"15082256";"51,802301";"11,885765";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"19.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG965024885890";"E41081010000000000000000000005239";"4.7.2002";"";"";"";"";"";""
"SEE961826237523";"WP Drosa";"In Betrieb";"Wind";"1500";"1500";"30.11.2005";"18.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Drosa";"Flur10: 080";"15082256";"51,823056";"11,881944";"";"";"WP Drosa KG";"65";"70";"GE Wind Energy GmbH";"1,5s";"";"";"Horizontalläufer";"Windkraft an Land";"28.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR965181056027";"Teileinspeisung";"SGE927510485861";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG916635406790";"E41081010000000000000000000004705";"30.11.2005";"";"";"";"";"";""
