Time,KEQ0724176:4_13
 07.04.21 20:00:00,20.681
 08.04.21 02:00:00,19.703
 08.04.21 08:00:00,19.374
 08.04.21 14:00:00,18.815
 08.04.21 20:00:00,20.306
 09.04.21 02:00:00,19.893
 09.04.21 08:00:00,19.638
 09.04.21 14:00:00,21.598
 09.04.21 20:00:00,21.738
 10.04.21 02:00:00,21.165
 10.04.21 08:00:00,19.318
 10.04.21 14:00:00,21.383
 10.04.21 20:00:00,22.256
 11.04.21 02:00:00,21.663
 11.04.21 08:00:00,19.797
 11.04.21 14:00:00,20.774
 11.04.21 20:00:00,20.045
 12.04.21 02:00:00,20.334
 12.04.21 08:00:00,20.005
 12.04.21 14:00:00,20.662
 12.04.21 20:00:00,20.538
 13.04.21 02:00:00,19.254
 13.04.21 08:00:00,18.84
 13.04.21 14:00:00,20.567
 13.04.21 20:00:00,20.726
 14.04.21 02:00:00,19.548
 14.04.21 08:00:00,18.843
 14.04.21 14:00:00,20.544
 14.04.21 20:00:00,20.749
 15.04.21 02:00:00,19.895
 15.04.21 08:00:00,19.575
 15.04.21 14:00:00,20.727
 15.04.21 20:00:00,20.627
 16.04.21 02:00:00,18.358
 16.04.21 08:00:00,17.869
 16.04.21 14:00:00,20.403
 16.04.21 20:00:00,20.695
 17.04.21 02:00:00,19.77
 17.04.21 08:00:00,18.245
 17.04.21 14:00:00,20.502
 17.04.21 20:00:00,20.149
 18.04.21 02:00:00,19.915
 18.04.21 08:00:00,18.468
 18.04.21 14:00:00,20.539
 18.04.21 20:00:00,20.588
 19.04.21 02:00:00,19.829
 19.04.21 08:00:00,19.745
 19.04.21 14:00:00,20.675
 19.04.21 20:00:00,20.428
 20.04.21 02:00:00,19.552
 20.04.21 08:00:00,19.714
 20.04.21 14:00:00,20.621
 20.04.21 20:00:00,20.496
 21.04.21 02:00:00,19.734
 21.04.21 08:00:00,19.884
 21.04.21 14:00:00,20.574
 21.04.21 20:00:00,20.349
 22.04.21 02:00:00,19.775
 22.04.21 08:00:00,19.805
 22.04.21 14:00:00,20.479
 22.04.21 20:00:00,20.234
 23.04.21 02:00:00,19.69
 23.04.21 08:00:00,19.718
 23.04.21 14:00:00,20.646
 23.04.21 20:00:00,20.545
 24.04.21 02:00:00,18.957
 24.04.21 08:00:00,18.14
 24.04.21 14:00:00,20.175
 24.04.21 20:00:00,20.599
 25.04.21 02:00:00,19.941
 25.04.21 08:00:00,18.723
 25.04.21 14:00:00,20.457
 25.04.21 20:00:00,20.173
 26.04.21 02:00:00,20.126
 26.04.21 08:00:00,19.802
 26.04.21 14:00:00,20.678
 26.04.21 20:00:00,20.571
 27.04.21 02:00:00,19.609
 27.04.21 08:00:00,19.596
 27.04.21 14:00:00,20.648
 27.04.21 20:00:00,20.53
 28.04.21 02:00:00,19.649
 28.04.21 08:00:00,19.701
 28.04.21 14:00:00,20.603
 28.04.21 20:00:00,20.396
 29.04.21 02:00:00,19.87
 29.04.21 08:00:00,19.948
 29.04.21 14:00:00,20.607
 29.04.21 20:00:00,20.451
 30.04.21 02:00:00,19.551
 30.04.21 08:00:00,19.883
 30.04.21 14:00:00,20.563
 30.04.21 20:00:00,20.479
 01.05.21 02:00:00,19.859
 01.05.21 08:00:00,18.922
 01.05.21 14:00:00,20.614
 01.05.21 20:00:00,20.377
 02.05.21 02:00:00,19.964
 02.05.21 08:00:00,19.277
 02.05.21 14:00:00,20.52
 02.05.21 20:00:00,19.033
 03.05.21 02:00:00,20.296
 03.05.21 08:00:00,20.289
 03.05.21 14:00:00,20.29
 03.05.21 20:00:00,20.229
 04.05.21 02:00:00,19.775
 04.05.21 08:00:00,19.647
 04.05.21 14:00:00,20.169
 04.05.21 20:00:00,20.131
 05.05.21 02:00:00,19.556
 05.05.21 08:00:00,19.516
 05.05.21 14:00:00,20.029
 05.05.21 20:00:00,19.868
 06.05.21 02:00:00,19.404
 06.05.21 08:00:00,19.408
 06.05.21 14:00:00,20.142
 06.05.21 20:00:00,20.075
 07.05.21 02:00:00,19.479
 07.05.21 08:00:00,19.48
 07.05.21 14:00:00,20.136
 07.05.21 20:00:00,20.217
 08.05.21 02:00:00,19.856
 08.05.21 08:00:00,18.579
 08.05.21 14:00:00,20.352
 08.05.21 20:00:00,20.668
 09.05.21 02:00:00,20.407
 09.05.21 08:00:00,19.433
 09.05.21 14:00:00,20.599
 09.05.21 20:00:00,20.668
 10.05.21 02:00:00,20.544
 10.05.21 08:00:00,20.101
 10.05.21 14:00:00,20.527
 10.05.21 20:00:00,21.225
 11.05.21 02:00:00,21.31
 11.05.21 08:00:00,21.075
 11.05.21 14:00:00,20.806
 11.05.21 20:00:00,21.301
 12.05.21 02:00:00,21.386
 12.05.21 08:00:00,21.149
 12.05.21 14:00:00,20.719
 12.05.21 20:00:00,19.882
 13.05.21 02:00:00,19.863
 13.05.21 08:00:00,19.77
 13.05.21 14:00:00,20.617
 13.05.21 20:00:00,20.643
 14.05.21 02:00:00,19.714
 14.05.21 08:00:00,20.098
 14.05.21 14:00:00,20.702
 14.05.21 20:00:00,20.594
 15.05.21 02:00:00,20.257
 15.05.21 08:00:00,19.602
 15.05.21 14:00:00,20.643
 15.05.21 20:00:00,20.535
 16.05.21 02:00:00,20.335
 16.05.21 08:00:00,19.8
 16.05.21 14:00:00,20.46
 16.05.21 20:00:00,20.321
 17.05.21 02:00:00,20.133
 17.05.21 08:00:00,20.134
 17.05.21 14:00:00,20.228
 17.05.21 20:00:00,20.324
 18.05.21 02:00:00,20.126
 18.05.21 08:00:00,20.102
 18.05.21 14:00:00,20.343
 18.05.21 20:00:00,20.379
 19.05.21 02:00:00,20.041
 19.05.21 08:00:00,20.074
 19.05.21 14:00:00,20.014
 19.05.21 20:00:00,20.39
 20.05.21 02:00:00,20.16
